巻
孫
並
略
看
尊
損
乾
糸
券
童
粒
肩
伺
志
圧
植
銅
導
換
刺
壁
触
了
案
枝
軒
健
片
衣
辺
涼
囲
毒
伸
量
依
臣
委
帯
編
領
管
脂
辛
療
袋
届
胃
賢
詞
替
保
異
緑
移
鈍
補
環
曇
簡
輪
募
誌
針
涙
丸
含
岸
包
域
岩
軟
令
寺
減
宝
震
濯
児
戸
零
印
机
固
乳
齢
希
歴
故
祈
枯
担
季
個
豊
庫
炭
恋
湖
宇
雇
羽
練
燃
悩
基
脳
農
防
雲
湿
団
濃
永
波
栄
営
帽
鋭
拝
棒
公
貿
録
捨
暴
液
技
竹
畜
倍
湾
延
姓
腕
築
星
喫
省
詰
効
仲
泊
虫
清
塩
肯
逆
磨
厚
薄
勢
麦
汚
久
柱
枚
紅
爆
央
荒
埋
応
旧
郊
香
駐
著
肌
授
整
貯
欧
耕
航
税
庁
兆
奥
康
州
舟
億
黄
周
張
拾
硬
修
巨
坂
鉱
績
超
温
板
版
無
般
接
販
設
仮
講
漁
節
価
叫
沈
河
珍
柔
協
占
賃
綿
況
谷
比
荷
挟
専
皮
泉
毛
菓
浅
貨
祝
批
胸
骨
境
橋
述
被
競
課
根
底
混
線
純
極
玉
順
停
介
準
鼻
油
査
灰
均
砂
善
匹
快
輸
改
筆
泥
署
氷
勇
禁
再
諸
滴
郵
械
評
標
階
鉄
秒
採
祭
双
細
召
貝
床
展
預
隅
幼
承
掘
昇
殿
捜
布
材
府
訓
将
掃
各
軍
角
塗
溶
拡
群
腰
革
符
踊
章
紹
装
普
較
型
咲
層
灯
膚
冊
総
札
焼
恵
刷
浴
武
操
翌
燥
封
象
凍
額
敬
造
島
皿
照
像
副
傾
幅
憎
復
絡
蔵
党
贈
臓
複
賞
乱
塔
卵
沸
仏
算
則
湯
芸
粉
条
劇
測
筒
干
城
刊
裏
甘
汗
血
卒
陸
史
畳
司
蒸
兵
律
