同
犬
死
動
堂
色
多
悪
道
建
研
私
使
旅
始
安
姉
特
別
以
体
料
思
心
待
医
漢
紙
勉
歩
力
貸
館
試
験
真
意
元
代
台
言
題
方
字
新
耳
自
親
肉
事
古
持
員
院
飲
図
起
帰
室
運
英
質
映
写
社
口
地
工
者
知
世
駅
広
正
売
借
考
青
買
茶
着
手
主
注
昼
妹
発
究
夕
急
町
赤
屋
味
秋
牛
鳥
去
朝
音
終
習
週
切
集
魚
飯
明
花
京
住
重
夏
家
黒
通
強
教
目
歌
問
弟
夜
春
野
業
画
会
近
的
有
海
界
開
銀
病
少
品
店
早
空
走
転
田
不
用
送
洋
作
兄
度
冬
曜
計
楽
風
服
足
物
答
理
族
止
文
仕
場
立
