潔
壌
亜
矢
嬢
洞
柄
柳
哀
陥
旨
錠
胴
陛
譲
勘
醸
塀
竜
患
至
幣
貫
汰
弊
隆
握
硫
喚
妥
扱
堪
殖
倹
飾
堕
瞳
虜
嵐
敢
兼
惰
峠
慮
棺
剣
嘱
駄
匿
癖
款
拳
織
祉
閑
肢
辱
督
勧
姿
耐
徳
寛
圏
篤
猟
幹
堅
怠
陵
検
施
胎
独
偏
嫌
遍
僚
献
威
絹
泰
凸
弁
寮
為
遣
歓
視
侵
瞭
監
憲
紫
逮
屯
糧
尉
緩
津
豚
憾
謙
還
嗣
唇
隊
繭
娠
滞
厘
顕
詩
振
態
舗
倫
浸
懸
飼
那
隣
奈
墓
臨
艦
幻
雌
慕
瑠
維
鑑
玄
紳
第
梨
慰
賜
簿
累
遺
弦
諮
滝
塁
緯
診
択
芳
慎
沢
邦
眼
卓
奉
壱
頑
審
拓
尼
励
逸
源
託
弐
厳
薪
芋
企
己
諾
鈴
伎
濁
虹
泡
侍
刃
但
胞
霊
仁
俸
隷
尽
脱
倣
姻
岐
迅
奪
尿
峰
麗
虎
滋
甚
棚
砲
暦
忌
孤
慈
陣
妊
崩
汽
弧
尋
丹
忍
陰
奇
磁
旦
劣
須
寧
烈
隠
裂
韻
紀
鹿
飽
軌
胆
褒
既
垂
縫
廉
誇
軸
炊
淡
粘
鼓
帥
乏
錬
唄
飢
粋
嘆
呂
鬼
顧
衰
端
納
炉
畝
推
妨
浦
疾
酔
誕
執
遂
鍛
露
呉
睡
房
亀
穂
把
肪
娯
漆
随
某
幾
悟
髄
派
冒
郎
揮
碁
枢
弾
剖
朗
芝
崇
暖
覇
紡
浪
棋
廊
詠
貴
護
据
壇
婆
傍
楼
影
棄
杉
漏
舎
衛
旗
寸
器
射
瀬
疫
孔
是
肺
益
輝
功
赦
井
致
俳
膨
巧
斜
謀
騎
煮
痴
排
悦
甲
遮
稚
賄
宜
謝
廃
謁
偽
邪
輩
朴
惑
閲
欺
蛇
牧
枠
義
后
尺
睦
逐
梅
僕
沿
儀
江
酌
征
蓄
培
墨
炎
戯
釈
陪
撲
擬
爵
秩
媒
没
宴
犠
坑
斉
窒
媛
孝
賠
堀
援
菊
抗
寂
吉
攻
牲
嫡
伯
奔
拍
翻
猿
凡
却
朱
逝
迫
盆
鉛
拘
沖
麻
脚
狩
盛
宙
舶
摩
侯
婿
忠
博
縁
虐
殊
抽
魔
艶
恒
珠
洪
聖
漠
及
皇
誠
縛
凹
弓
衷
丘
趣
製
誓
鋳
幕
往
膜
請
旺
朽
又
需
丁
鉢
殴
儒
弔
抹
桜
貢
樹
翁
泣
斥
伐
囚
慢
級
罰
漫
岡
糾
控
挑
閥
宮
秀
析
帳
救
魅
憶
宗
彫
岬
隻
眺
密
虞
惜
釣
帆
乙
窮
臭
脈
絞
伴
妙
卸
項
跡
溝
恩
矛
拒
籍
腸
穏
拠
綱
跳
挙
酵
就
徴
班
虚
稿
衆
拙
畔
霧
興
窃
潮
距
衡
愁
澄
鋼
酬
醜
聴
購
摂
懲
搬
凶
襲
煩
佳
勅
頒
盟
汁
舌
範
銘
狂
拷
充
繁
剛
藩
滅
享
朕
免
豪
仙
陳
架
克
従
蛮
渋
鎮
盤
峡
銃
宣
茂
獣
椎
模
華
狭
縦
墜
妃
叔
妄
恭
穀
盲
渦
酷
染
塚
耗
脅
獄
淑
扇
漬
披
猛
嫁
粛
栓
坪
肥
網
暇
駒
縮
旋
禍
郷
塾
鶴
卑
黙
熟
寡
呈
紋
矯
廷
秘
箇
鏡
昆
冶
稼
恨
俊
響
践
扉
蚊
驚
瞬
抵
弥
仰
旬
銭
邸
碑
厄
暁
巡
潜
亭
罷
我
紺
盾
貞
避
凝
魂
准
遷
帝
尾
訳
芽
墾
殉
訂
眉
賀
懇
薦
躍
雅
循
繊
逓
餓
佐
鮮
微
沙
偵
斤
潤
堤
遵
提
愉
唆
諭
禅
艇
戒
菌
詐
漸
締
泌
癒
鎖
唯
怪
琴
庶
繕
姫
拐
筋
狙
悔
阻
笛
摘
幽
緊
災
租
俵
悠
錦
素
票
謹
采
如
措
敵
湧
襟
砕
粗
漂
猶
吟
宰
序
迭
裕
栽
叙
疎
哲
苗
塊
彩
徐
訴
雄
句
塑
徹
誘
撤
描
憂
駆
升
礎
融
壊
斎
典
懐
壮
浜
愚
匠
賓
裁
抄
添
頻
誉
劾
遇
債
肖
奏
敏
催
尚
瓶
荘
涯
屈
羊
街
載
慨
松
倉
熊
沼
斗
該
繰
昭
挿
吐
扶
概
宵
桑
庸
剤
巣
揚
垣
勲
揺
薫
症
曹
附
崎
祥
郡
称
爽
削
赴
唱
創
刑
喪
奴
核
索
渉
殻
系
策
葬
窯
郭
径
酢
養
茎
搾
訟
僧
刀
腐
擁
錯
敷
謡
隔
掌
閣
契
晶
賦
抑
遭
譜
獲
焦
槽
豆
侮
嚇
啓
硝
穫
掲
渓
詔
翼
岳
証
霜
蛍
撮
騒
裸
擦
傷
藻
伏
羅
奨
掛
桃
雷
潟
詳
討
括
携
彰
透
継
障
喝
桟
憧
悼
酪
渇
慶
蚕
衝
惨
即
陶
覆
償
滑
憩
傘
礁
搭
覧
褐
鐘
促
棟
濫
轄
鶏
藍
且
酸
痘
欄
株
冗
紛
吏
鯨
雰
鎌
噴
刈
暫
墳
撃
士
俗
統
憤
痢
激
浄
稲
奮
剰
属
踏
履
賊
糖
璃
缶
穴
氏
離
謄
丙
肝
率
藤
結
闘
冠
傑
縄
騰
併
